Question,Dimension Key,Dimension,Source Locked,Candidates,A — Official,Manager-scoped Candidates,Coverage Status,Next Action,Boundary
Q39,customers,Customers,Yes,0,0,0,Open — subtopic evidence gap,Find original evidence on customer treatment/value and any counter-evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q39,employees,Employees,Yes,0,0,0,Open — subtopic evidence gap,Find original evidence on employee treatment/value and any counter-evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q39,suppliers,Suppliers,Yes,0,0,0,Open — subtopic evidence gap,Find original evidence on supplier relationships and any counter-evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q39,shareholders,Shareholders,Yes,30,30,0,Candidate coverage — analyst verify,Find original evidence on shareholder treatment and capital stewardship.,Coverage audit only — not a management score; analyst verification/promotion required.
Q39,business_partners,Business partners,Yes,0,0,0,Open — subtopic evidence gap,Find original evidence on partner relationships and any counter-evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q39,other_stakeholders,Other stakeholders,Yes,0,0,0,Open — subtopic evidence gap,Find original evidence for other material stakeholders; do not substitute slogans for operating evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q40,continuous_improvement,Continuous improvement,Yes,0,0,0,Open — subtopic evidence gap,Verify repeatable day-to-day improvement practices from dated evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q40,strategic_plan,Strategic plan / transformation,Yes,0,0,0,Open — subtopic evidence gap,Verify strategic-plan or transformational-bet evidence and observed follow-through.,Coverage audit only — not a management score; analyst verification/promotion required.
Q40,frontline_feedback,Frontline feedback,Yes,4,4,0,Candidate coverage — analyst verify,Find evidence that frontline/customer feedback reaches operating decisions.,Coverage audit only — not a management score; analyst verification/promotion required.
Q40,adaptation,Adaptation,Yes,0,0,0,Open — subtopic evidence gap,Find examples of management adapting operations when facts changed.,Coverage audit only — not a management score; analyst verification/promotion required.
Q41,guidance_issued,Guidance issued,Yes,18,18,0,Candidate coverage — analyst verify,Verify dated issued guidance and who issued it.,Coverage audit only — not a management score; analyst verification/promotion required.
Q41,guidance_revised_withdrawn,Guidance revised / withdrawn,Yes,0,0,0,Open — subtopic evidence gap,Verify revisions/withdrawals from original dated disclosures.,Coverage audit only — not a management score; analyst verification/promotion required.
Q41,guidance_actual_outcome,Guidance versus actual outcome,Yes,18,18,0,Candidate coverage — analyst verify,Pair explicit guidance with actual outcome; do not infer sandbagging/manipulation from arithmetic alone.,Coverage audit only — not a management score; analyst verification/promotion required.
Q42,central_control,Central control,Yes,0,0,0,Open — subtopic evidence gap,Map decisions retained centrally and the supporting evidence.,Coverage audit only — not a management score; analyst verification/promotion required.
Q42,delegation_autonomy,Delegation / autonomy,Yes,0,0,0,Open — subtopic evidence gap,Map delegated authority/autonomy and escalation controls.,Coverage audit only — not a management score; analyst verification/promotion required.
Q42,business_unit_rights,Business-unit decision rights,Yes,1,1,0,Candidate coverage — analyst verify,Verify business-unit/customer-proximity decision rights.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,employees_assets_or_liabilities,Does management treat its employees as assets or liabilities?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `employees_assets_or_liabilities`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,employee_contributions,Does management talk about the contributions of their employees?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `employee_contributions`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,retention_critical,Does management believe that retaining employees is critical?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `retention_critical`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,promote_from_within,Does the business promote from within?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `promote_from_within`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
