question_id,group_name,question_vi,research_mode,supporting_tool,analyst_assessment_required
Q01,Business Basics,Tôi có muốn dành nhiều thời gian để tìm hiểu doanh nghiệp này không?,manual,,YES
Q02,Business Basics,"Nếu trở thành CEO, tôi sẽ đánh giá doanh nghiệp này như thế nào?",manual,,YES
Q03,Business Basics,Tôi có thể mô tả cách doanh nghiệp vận hành bằng chính lời của mình không?,hybrid,Business Model Map,YES
Q04,Business Basics,Doanh nghiệp kiếm tiền bằng cách nào?,hybrid,Business Model Map,YES
Q05,Business Basics,Doanh nghiệp đã tiến hóa/thay đổi như thế nào theo thời gian?,hybrid,History Timeline,YES
Q06,Business Basics,Doanh nghiệp hoạt động ở những thị trường nước ngoài nào và rủi ro là gì?,hybrid,Geo Risk Map,YES
Q07,Customer,Khách hàng cốt lõi của doanh nghiệp là ai?,hybrid,Customer Map,YES
Q08,Customer,Cơ sở khách hàng tập trung hay đa dạng?,hybrid,Customer Concentration,YES
Q09,Customer,Dễ hay khó thuyết phục khách hàng mua sản phẩm/dịch vụ?,hybrid,Customer Acquisition,YES
Q10,Customer,Tỷ lệ giữ chân khách hàng là bao nhiêu?,hybrid,Retention/Proxy Metrics,YES
Q11,Customer,Dấu hiệu nào cho thấy doanh nghiệp định hướng khách hàng?,hybrid,Customer Evidence,YES
Q12,Customer,Doanh nghiệp giải quyết nỗi đau/vấn đề gì cho khách hàng?,manual,Customer Value Proposition,YES
Q13,Customer,Khách hàng phụ thuộc vào sản phẩm/dịch vụ của doanh nghiệp đến mức nào?,hybrid,Switching Cost,YES
Q14,Customer,"Nếu doanh nghiệp biến mất ngày mai, khách hàng bị ảnh hưởng như thế nào?",manual,Dependency Scenario,YES
Q15,Business & Industry,Doanh nghiệp có lợi thế cạnh tranh bền vững không và nguồn gốc là gì?,hybrid,Moat Copyability Analyzer,YES
Q16,Business & Industry,Doanh nghiệp có thể tăng giá mà không mất khách hàng không?,hybrid,Pricing Power Analyzer,YES
Q17,Business & Industry,Doanh nghiệp hoạt động trong một ngành tốt hay xấu?,hybrid,Peer & Industry Analyzer,YES
